Ho, ho das ist der Text ...😀😀😀

Nur noch ein paar Sonderzeichen testen:

😀	😁	😂	😃	😄	😅	😆	😇	😈	😉	😊	😋	😌	😍	😎	😏	
😰	😱	😲	😳	😴	😵	😶	😷	😸	😹	😺	😻	😼	😽	😾	😿	
🙀	🙁	🙂	🙃	🙄	🙅	🙆	🙇	🙈	🙉	🙊	🙋	🙌	🙍	🙎	🙏	
🚀	🚁	🚂	🚃	🚄	🚅	🚆	🚇	🚈	🚉	🚊	🚋	🚌	🚍	🚎	🚏	
🚐	🚑	🚒	🚓	🚔	🚕	🚖	🚗	🚘	🚙	🚚	🚛	🚜	🚝	🚞	🚟	
🚠	🚡	🚢	🚣	🚤	🚥	🚦	🚧	🚨	🚩	🚪	🚫	🚬	🚭	🚮	🚯	
🚰	🚱	🚲	🚳	🚴	🚵	🚶	🚷	🚸	🚹	🚺	🚻	🚼	🚽	🚾	🚿	
🛀	🛁	🛂	🛃	🛄	🛅	🛆	🛇	🛈	🛉	🛊	🛋	🛌	🛍	🛎	🛏	
0🛠	🛡	🛢	🛣	🛤	🛥	🛦	🛧	🛨	🛩	🛪	🛫	🛬	🛭	🛮	🛯	
🜠	🜡	🜢	🜣	🜤	🜥	🜦	🜧	🜨	🜩	🜪	🜫	🜬	🜭	🜮	🜯	
🜰	🜱	🜲	🜳	🜴	🜵	🜶	🜷	🜸	🜹	🜺	🜻	🜼	🜽	🜾	🜿	
0🝀	🝁	🝂	🝃	🝄	🝅	🝆	🝇	🝈	🝉	🝊	🝋	🝌	🝍	🝎	🝏	
🝐	🝑	🝒	🝓	🝔	🝕	🝖	🝗	🝘	🝙	🝚	🝛	🝜	🝝	🝞	🝟	
0🞰	🞱	🞲	🞳	🞴	🞵	🞶	🞷	🞸	🞹	🞺	🞻	🞼	🞽	🞾	🞿	
🟠	🟡	🟢	🟣	🟤	🟥	🟦	🟧	🟨	🟩	🟪	🟫	🟬	🟭	🟮	🟯	




